CIK-code,NetIncomeLoss,OperatingIncomeLoss,GrossProfit,ComprehensiveIncomeNetOfTax,EarningsPerShareBasic,RevenueFromContractWithCustomerExcludingAssessedTax,EntityPublicFloat,AllocatedShareBasedCompensationExpense,CashAndCashEquivalentsAtCarryingValue,AccountsReceivableNetCurrent
CIK0000014693,903000000.0,1166000000.0,2094000000.0,1028000000.0,1.89,3461000000.0,23400000000.0,,1150000000.0,813000000.0
CIK0001868275,-205000000.0,-346000000.0,,-206000000.0,0.0,17254000000.0,29396464132.0,47000000.0,504000000.0,2585000000.0
CIK0000877890,,,,,,,,,,
CIK0000004447,559000000.0,,,908000000.0,1.82,7683000000.0,37598000000.0,77000000.0,2486000000.0,
CIK0001307954,1045000000.0,731000000.0,1584000000.0,1188000000.0,4.77,7670000000.0,4518832582.0,30000000.0,654000000.0,
CIK0000106535,2607000000.0,3643000000.0,4098000000.0,2950000000.0,3.48,,24400000000.0,,1581000000.0,357000000.0
CIK0001058290,2137000000.0,2826000000.0,,2064000000.0,4.06,18507000000.0,32900000000.0,246000000.0,2191000000.0,3796000000.0
CIK0000006769,1062000000.0,2888000000.0,,1070000000.0,,,0.0,152000000.0,185000000.0,1424000000.0
CIK0001164727,1166000000.0,,,1249000000.0,1.46,12222000000.0,33878942644.0,72000000.0,4992000000.0,366000000.0
CIK0001512673,166284000.0,161112000.0,4419823000.0,,0.36,,38500000000.0,608042000.0,4443669000.0,140508000.0
CIK0001504461,-639819000.0,-390753000.0,,,,,133900000.0,,22704000.0,1123163000.0
CIK0001324404,,1729000000.0,2387000000.0,980000000.0,4.27,,13335083067.0,30000000.0,,
CIK0000732712,22065000000.0,32448000000.0,,21209000000.0,5.32,,156300000000.0,,2605000000.0,
CIK0001043604,252700000.0,387500000.0,2740100000.0,195000000.0,0.78,4735400000.0,9826000000.0,222600000.0,880100000.0,1227300000.0
CIK0000829224,4199300000.0,4872100000.0,,4711100000.0,3.57,,117100000000.0,319100000.0,,1175500000.0
CIK0001306830,1890000000.0,1946000000.0,2682000000.0,1889000000.0,16.99,8537000000.0,12564643206.0,,,1379000000.0
