Company-name,CIK-code
3M Company,CIK0000066740
AbbVie,CIK0001551152
Abercrombie & Fitch,CIK0001018840
Adobe,CIK0000008680
AMD,CIK0000002488
AES Corporation,CIK0000874761
AGP,
Air Products,CIK0000002969
Airbnb,CIK0001559720
Akamai,CIK0001086222
Albertsons Companies,CIK0001646972
Alphabet,CIK0001652044
Amazon,CIK0001018724
American Crystal,
American Eagle Outfitters,CIK0000919012
American Electric Power (AEP),CIK0000004904
American Tower,CIK0001053507
Amphenol,CIK0000820313
Analog Devices,CIK0000006281
Apache,CIK0000006769
Apple,CIK0000320193
Applied Materials,CIK0000006951
Aramark,CIK0001584509
Archer Daniels Midland,CIK0000007084
Ascena Retail Group,CIK0001498301
AT&T,CIK0000732717
Avery Dennison Corporation,CIK0000008818
B&G Foods,CIK0001278027
Ball Corporation,CIK0000009389
Berry Global,CIK0001378992
Bloomin' Brands,CIK0001546417
Blue Diamond Growers,
Booking Holdings,CIK0001075531
Bristol Myers Squibb,CIK0000014272
Broadcom,CIK0001730168
Bunge,CIK0001144519
C&S Wholesale Grocers,
Calavo Growers,CIK0001133470
California Resources,CIK0001609253
Campbell's,CIK0000016732
Cargill,
Carter's,CIK0001060822
Celanese,CIK0001306830
Lumen,CIK0000018926
CF Industries,CIK0001324404
Chesapeake Energy,CIK0000895126
Chevron,CIK0000093410
Chevron Phillips,
Chipotle Mexican Grill,CIK0001058090
CHS,CIK0000823277
Cisco,CIK0000858877
Citrix,CIK0000877890
Cloudflare,CIK0001477333
CMS Energy,CIK0000811156
The Coca-Cola Company,CIK0000021344
Cogent,CIK0001158324
Columbia Sportswear,CIK0001050797
Comcast,CIK0001166691
Conagra Brands,CIK0000023217
ConocoPhillips,CIK0001163165
Constellation Brands,CIK0000016918
Corning,CIK0000024741
Corteva Agriscience,CIK0001755672
Costco Wholesale,CIK0000909832
Crown Holdings,CIK0001219601
Dairy Farmers of America,
Darden Restaurants,CIK0000940944
Del Monte Pacific,
Dell,CIK0001571996
Designer Brands,CIK0001060232
Devon Energy,CIK0001090012
Digital Realty Trust,CIK0001297996
Dominion Energy,CIK0000715957
DOW,CIK0001751788
Driscoll's,
Duke Energy,CIK0001326160
DuPont,CIK0001666700
Eastman Chemical,CIK0000915389
eBay,CIK0001065088
EchoStar,CIK0001415404
Ecolab,CIK0000031462
Eli Lilly and Company,CIK0000059478
EOG Resources,CIK0000821189
Equinix,CIK0001101239
Exelon Corporation,CIK0001109357
Exxon Mobil,CIK0000034088
Meta,CIK0001326801
First Solar,CIK0001274494
FMC,CIK0000037785
Foot Locker,CIK0000850209
Forever 21,
Freeport-McMoRan,CIK0000831259
Gap,CIK0000039911
General Electric Company (GE),CIK0000040545
General Mills,CIK0000040704
Koch Industries,
G-III Apparel Group,CIK0000820027
Gilead Sciences,CIK0000882095
GlobalFoundries,CIK0001667887
Goodyear Tire & Rubber,CIK0000042582
Graphic Packaging International,
GTT,CIK0001315255
Guess?,CIK0000912463
Hanesbrands,CIK0001359841
Hess,CIK0000004447
Honeywell International,CIK0000773840
Hormel Foods,CIK0000048465
HP,CIK0000047217
Huntsman Corporation,CIK0001307954
IBM,CIK0000051143
Ingredion,CIK0001046257
Intel,CIK0000050863
International Flavors & Fragrances,CIK0000051253
International Paper,CIK0000051434
Iridium,CIK0001418819
J Crew Group,CIK0001051251
J.D. Heiskell & Company,
J.R. Simplot,
JM Smucker,CIK0000091419
Johnson & Johnson,CIK0000200406
Juniper Networks,CIK0001043604
Kellogg's,CIK0000055067
Keurig Dr Pepper,CIK0001418135
Koch Foods,
Kohl's,CIK0000885639
Kraft Heinz,CIK0001637459
Kroger,CIK0000056873
Lam Research,CIK0000708477
Lamb Weston,CIK0001679273
Land O'Lakes,
Levi Strauss & Co.,CIK0000094845
Lyft,CIK0001759509
Macy's,CIK0000794367
Marathon Oil,CIK0000101778
Marathon Petroleum,CIK0001510295
Mars,
McCormick,CIK0000063754
McDonald's,CIK0000063908
Merck & Co,CIK0000310158
Microchip,CIK0000827054
Micron,CIK0000723125
Microsoft,CIK0000789019
Molson Coors,CIK0000024545
Mondelez International,CIK0001103982
Mosaic,CIK0001285785
NetApp,CIK0001002047
Netflix,CIK0001065280
New Balance,
Nextera Energy,CIK0000753308
NGL Energy Partners,CIK0001504461
Nike,CIK0000320187
Nordstrom,CIK0000072333
Nvidia,CIK0001045810
Occidental Petroleum,CIK0000797468
Ocean Spray Cranberries,
O-I,CIK0000078933
Oracle,CIK0001341439
OSI Group,
Pacific Gas and Electric (PG&E),CIK0001004980
Pacific Seafood Group,
Packaging Corporation of America (PCA),CIK0000075677
PayPal,CIK0001633917
PBF Energy,CIK0001534504
PepsiCo,CIK0000077476
Perdue Farms,
Pfizer,CIK0000078003
Phillips 66,CIK0001534701
Pioneer Natural Resources,CIK0001038357
Post,CIK0001530950
PPG Industries,CIK0000079879
Publix Super Markets,
PVH,CIK0000078239
Qualcomm,CIK0000804328
Ralph Lauren Corporation,CIK0001037038
Red Chamber Group,
Reliance Steel & Aluminum,CIK0000080314
Ross Stores,CIK0000745732
Salesforce,CIK0001108524
Sanderson Farms,CIK0000812128
Skechers,CIK0001065837
Snap,CIK0001564408
Southern Co,CIK0000092122
Southern States Cooperative,
SpaceX,
Starbucks,CIK0000829224
Subway,
Sunkist Growers,
Sysco,CIK0000096021
Tailored Brands,CIK0000018375
Tapestry,CIK0001116132
Targa Resources,CIK0001469367
Target Corporation,CIK0000027419
Taylor Farms,
Texas Instruments,CIK0000097476
The Hershey Company,CIK0000047111
The TJX Companies,CIK0000109198
TreeHouse Foods,CIK0001320695
Trident Seafoods,
Twitter,CIK0001418091
Tyson Foods,CIK0000100493
Uber,CIK0001543151
UFP Industries,CIK0000912579
Under Armour,CIK0001336917
URBN,CIK0000106527
US Foods,CIK0001665918
Valero Energy,CIK0001035002
Verizon,CIK0000732712
VF Corporation,CIK0000102730
Vistra Energy Corp,CIK0001692819
Walmart,CIK0000104169
Western Digital,CIK0000106040
Westlake Chemical,CIK0001262823
WestRock,CIK0001732845
Weyerhaeuser,CIK0000106535
Wilbur-Ellis,
Wonderful Company,
Xcel Energy,CIK0000072903
Yum! Brands,CIK0001041061
Schreiber,
Palantir,CIK0001321655
ServiceNow,CIK0001373715
Twilio,CIK0001447669
Zoom,CIK0001585521
VMWare,CIK0001124610
Stripe,
Albemarle Corporation,CIK0000915913
Newmont,CIK0001164727
Enterprise Products Partners,CIK0001061219
HollyFrontier,CIK0000048039
Cognizant,CIK0001058290
Activision Blizzard,CIK0000718877
Skyworks,CIK0000004127
Monster Beverage,CIK0000865752
Brown-Forman,CIK0000014693
HPE,CIK0001645590
Pactiv Evergreen,CIK0001783180
Sealed Air,CIK0001012100
Sherwin-Williams,CIK0000089800
Brinker International,CIK0000703351
Domino's,CIK0001286681
Inspire Brands,
Performance Food Group,CIK0001618673
NRG Energy Inc.,CIK0001013871
PPL Corp.,CIK0000922224
WEC Energy Group Inc.,CIK0000783325
Constellation Energy,CIK0001868275
Block,CIK0001512673
